#########################
Running start QwenCoderTurbo-SelfPlanning-APPS-Python3-0.0-1, Time: 2025-11-11 19:53:41.639162
##########################

completed 1/19, Solved: False, number of success = 0/1, acc = 0.0
completed 2/19, Solved: False, number of success = 0/2, acc = 0.0
completed 3/19, Solved: False, number of success = 0/3, acc = 0.0
completed 4/19, Solved: True, number of success = 1/4, acc = 25.0
completed 5/19, Solved: True, number of success = 2/5, acc = 40.0
completed 6/19, Solved: False, number of success = 2/6, acc = 33.33
completed 7/19, Solved: False, number of success = 2/7, acc = 28.57
completed 8/19, Solved: False, number of success = 2/8, acc = 25.0
completed 9/19, Solved: False, number of success = 2/9, acc = 22.22
completed 10/19, Solved: False, number of success = 2/10, acc = 20.0
completed 11/19, Solved: False, number of success = 2/11, acc = 18.18
completed 12/19, Solved: False, number of success = 2/12, acc = 16.67
completed 13/19, Solved: False, number of success = 2/13, acc = 15.38
completed 15/19, Solved: False, number of success = 2/15, acc = 13.33
completed 16/19, Solved: False, number of success = 2/16, acc = 12.5
completed 17/19, Solved: False, number of success = 2/17, acc = 11.76
completed 18/19, Solved: False, number of success = 2/18, acc = 11.11
completed 19/19, Solved: False, number of success = 2/19, acc = 10.53
#########################
Running end QwenCoderTurbo-SelfPlanning-APPS-Python3-0.0-1, Time: 2025-11-11 20:03:07.117713
##########################

