#########################
Running start QwenCoderTurbo-CoT-HumanEval-Python3-0.0-1, Time: 2025-11-11 14:09:15.858804
##########################

completed 1/21, Solved: False, number of success = 0/1, acc = 0.0
completed 2/21, Solved: True, number of success = 1/2, acc = 50.0
completed 3/21, Solved: True, number of success = 2/3, acc = 66.67
completed 4/21, Solved: False, number of success = 2/4, acc = 50.0
completed 5/21, Solved: False, number of success = 2/5, acc = 40.0
completed 6/21, Solved: True, number of success = 3/6, acc = 50.0
completed 7/21, Solved: True, number of success = 4/7, acc = 57.14
completed 8/21, Solved: True, number of success = 5/8, acc = 62.5
completed 9/21, Solved: True, number of success = 6/9, acc = 66.67
completed 10/21, Solved: False, number of success = 6/10, acc = 60.0
completed 11/21, Solved: True, number of success = 7/11, acc = 63.64
completed 12/21, Solved: True, number of success = 8/12, acc = 66.67
completed 13/21, Solved: True, number of success = 9/13, acc = 69.23
completed 14/21, Solved: True, number of success = 10/14, acc = 71.43
completed 15/21, Solved: False, number of success = 10/15, acc = 66.67
completed 16/21, Solved: False, number of success = 10/16, acc = 62.5
completed 17/21, Solved: False, number of success = 10/17, acc = 58.82
completed 18/21, Solved: True, number of success = 11/18, acc = 61.11
completed 19/21, Solved: True, number of success = 12/19, acc = 63.16
completed 20/21, Solved: False, number of success = 12/20, acc = 60.0
completed 21/21, Solved: True, number of success = 13/21, acc = 61.9
#########################
Running end QwenCoderTurbo-CoT-HumanEval-Python3-0.0-1, Time: 2025-11-11 14:10:49.399328
##########################

