#########################
Running start QwenCoderTurbo-SelfPlanning-HumanEval-Python3-0.0-1, Time: 2025-11-11 18:42:33.850152
##########################

completed 1/21, Solved: True, number of success = 1/1, acc = 100.0
completed 2/21, Solved: True, number of success = 2/2, acc = 100.0
completed 3/21, Solved: True, number of success = 3/3, acc = 100.0
7.5
completed 4/21, Solved: True, number of success = 4/4, acc = 100.0
completed 5/21, Solved: True, number of success = 5/5, acc = 100.0
completed 6/21, Solved: True, number of success = 6/6, acc = 100.0
completed 7/21, Solved: True, number of success = 7/7, acc = 100.0
completed 8/21, Solved: True, number of success = 8/8, acc = 100.0
completed 9/21, Solved: True, number of success = 9/9, acc = 100.0
completed 10/21, Solved: True, number of success = 10/10, acc = 100.0
completed 11/21, Solved: True, number of success = 11/11, acc = 100.0
completed 12/21, Solved: True, number of success = 12/12, acc = 100.0
completed 13/21, Solved: True, number of success = 13/13, acc = 100.0
completed 14/21, Solved: True, number of success = 14/14, acc = 100.0
completed 15/21, Solved: True, number of success = 15/15, acc = 100.0
completed 16/21, Solved: True, number of success = 16/16, acc = 100.0
completed 17/21, Solved: True, number of success = 17/17, acc = 100.0
completed 18/21, Solved: True, number of success = 18/18, acc = 100.0
completed 19/21, Solved: True, number of success = 19/19, acc = 100.0
completed 20/21, Solved: True, number of success = 20/20, acc = 100.0
completed 21/21, Solved: True, number of success = 21/21, acc = 100.0
#########################
Running end QwenCoderTurbo-SelfPlanning-HumanEval-Python3-0.0-1, Time: 2025-11-11 19:00:54.520036
##########################

