#########################
Running start QwenCoderTurbo-CoT-XCode-Python3-0.0-1, Time: 2025-11-11 20:37:44.219667
##########################

completed 1/14, Solved: False, number of success = 0/1, acc = 0.0
completed 2/14, Solved: False, number of success = 0/2, acc = 0.0
completed 3/14, Solved: False, number of success = 0/3, acc = 0.0
completed 4/14, Solved: True, number of success = 1/4, acc = 25.0
completed 5/14, Solved: False, number of success = 1/5, acc = 20.0
completed 6/14, Solved: False, number of success = 1/6, acc = 16.67
completed 7/14, Solved: False, number of success = 1/7, acc = 14.29
completed 8/14, Solved: False, number of success = 1/8, acc = 12.5
completed 9/14, Solved: False, number of success = 1/9, acc = 11.11
completed 10/14, Solved: False, number of success = 1/10, acc = 10.0
completed 11/14, Solved: False, number of success = 1/11, acc = 9.09
completed 12/14, Solved: False, number of success = 1/12, acc = 8.33
completed 13/14, Solved: False, number of success = 1/13, acc = 7.69
completed 14/14, Solved: False, number of success = 1/14, acc = 7.14
#########################
Running end QwenCoderTurbo-CoT-XCode-Python3-0.0-1, Time: 2025-11-11 20:40:26.784329
##########################

