#########################
Running start QwenCoderTurbo-SelfPlanning-XCode-Python3-0.0-1, Time: 2025-11-11 20:45:23.759504
##########################

completed 1/14, Solved: False, number of success = 0/1, acc = 0.0
completed 2/14, Solved: False, number of success = 0/2, acc = 0.0
completed 3/14, Solved: False, number of success = 0/3, acc = 0.0
completed 4/14, Solved: False, number of success = 0/4, acc = 0.0
completed 5/14, Solved: False, number of success = 0/5, acc = 0.0
completed 6/14, Solved: False, number of success = 0/6, acc = 0.0
completed 7/14, Solved: False, number of success = 0/7, acc = 0.0
completed 8/14, Solved: False, number of success = 0/8, acc = 0.0
completed 9/14, Solved: False, number of success = 0/9, acc = 0.0
completed 10/14, Solved: False, number of success = 0/10, acc = 0.0
completed 11/14, Solved: False, number of success = 0/11, acc = 0.0
completed 12/14, Solved: False, number of success = 0/12, acc = 0.0
completed 13/14, Solved: False, number of success = 0/13, acc = 0.0
completed 14/14, Solved: False, number of success = 0/14, acc = 0.0
#########################
Running end QwenCoderTurbo-SelfPlanning-XCode-Python3-0.0-1, Time: 2025-11-11 20:53:05.230200
##########################

